page,chapter,section,project_name,budget_2026_text,budget_2026_man_yen,budget_2025_text,budget_2025_man_yen,budget_diff_man_yen,budget_change_rate_pct,department,account_or_code,purpose,main_actions,major_expenses_prev
28,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校就学援助事業,747万円,747,725万円,725.0,22.0,3.0344827586206895,教育こども課,01-10-03-02-12,「下諏訪町要保護及び準要保護児童生徒援助費支給要綱」の規定に基づき、経済的理由によって就学が困 難な生徒に対し就学援助を行う。,就学援助費の支給,就学援助費 747万円
28,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校特別支援教育就学奨励事業,123万円,123,190万円,190.0,-67.0,-35.26315789473684,教育こども課,01-10-03-02-14,「下諏訪町特別支援教育就学奨励費支給要綱」の規定に基づき、該当の生徒の保護者に対し、特別支援教 育就学奨励費を支給する。,特別支援教育就学奨励費の支給,特別支援教育就学奨励費 123万円
28,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,なんでも相談室事業,430万円,430,427万円,427.0,3.0,0.702576112412178,教育こども課,01-10-02-02-24,小学校に教員以外の第三者相談員を配置し、児童が悩みを気軽に話せ、ストレスを和らげることのできる環 境を整備する。,相談員の配置,会計年度任用職員報酬等 430万円
29,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,小学校特別支援教育充実事業,"1,579万円",1579,"1,894万円",1894.0,-315.0,-16.631467793030623,教育こども課,01-10-02-02-26,高機能自閉症・アスペルガー・学習障害等、学習集団に溶け込めない集団不適応、発達障害のための支援員 を小学校に配置し、教職員と連携しながら幅広く支援を実施する。なお、令和６年度は医療的ケアが必要な児 童のための、看護師の会計年度および委託にて対応している。 置,学校や児童の状況を鑑みた支援員の適切な配,"会計年度任用職員報酬等 1,549万円 / 消耗品費 11万円"
29,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,心の教室相談事業,481万円,481,478万円,478.0,3.0,0.6276150627615062,教育こども課,01-10-03-02-22,中学校に教員以外の第三者的な相談員を配置することで、生徒が悩みを気軽に話せ、ストレスを和らげること のできる環境を整備する。,相談員の配置,会計年度任用職員報酬等 480万円
29,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中間教室管理運営事業,333万円,333,358万円,358.0,-25.0,-6.983240223463687,教育こども課,01-10-03-02-32,下諏訪町立図書館内に中間教室（スマイル教室）を開設し、学校へ登校することに負担を感じている生徒が、 ひと・もの・ことばなどの活動や関わりを通じて社会的自立や生活習慣を身に付けながら学習支援や教育相 談を受けられるよう体制を整備する。,中間教室（スマイル教室）の配備,会計年度任用職員報酬等 332万円 / 消耗品費 2万円
30,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,中学校特別支援教育充実事業,"1,218万円",1218,943万円,943.0,275.0,29.16224814422057,教育こども課,01-10-03-02-34,高機能自閉症・アスペルガー・学習障害等、学習集団に溶け込めない集団不適応、発達障害のための支援員 を中学校に配置し、教職員と連携しながら幅広く支援を実施する。 置,学校や生徒の状況も鑑みた支援員の適切な配,"地域クラブ活動体制整備委託料 1,469万円"
30,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,子どもの安全推進事業,17万円,17,17万円,17.0,0.0,0.0,教育こども課,01-10-01-02-10,通学中の子ども達の安全を確保するため、地域全体で登下校時の見守り を行う。,地域全体で見守る「ながら見守り」の推進,消耗品費 3万円 / ボランティア保険料 3万円 / 街頭防犯サービス使用料 11万円
30,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,地域クラブ活動体制整備事業,"1,492万円",1492,"1,421万円",1421.0,71.0,4.9964813511611545,教育こども課,01-10-01-02-20,国の進める部活動地域移行について、民間企業にコーディネートを委託し 推進を図る。 るよう取組の実施,平日、休日問わず地域の団体にて部活動ができ,"会計年度任用職員報酬等（支援員） 1,210万円 / 消耗品費 8万円"
31,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,学校運営委員会事業,100万円,100,189万円,189.0,-89.0,-47.08994708994709,教育こども課,01-10-03-02-26,保護者や地域住民の学校支援等を通じた学校運営への参画の促進及び連携強化を図ることにより、学校、 保護者、地域住民が一体となって学校運営の改善や児童生徒の健全な育成、学校評価に取り組むため、活 動に必要な資金の補助を行う。,学校運営委員会補助金の支給,手数料 40万円 / 浄化槽管理委託料 27万円 / 研修の家管理補助委託料 19万円
31,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,統計グラフコンクール事業,16万円,16,16万円,16.0,0.0,0.0,総務課,01-02-05-01-10,町統計グラフコンクールを開催することで、数値の集計・分析能力を養い、 下諏訪町の現状理解を深める。さらに、小中学生を中心とした住民の参加 により、まちづくりへの関心と理解が深まる。,統計教育・住民参加の推進,記念品代 10万円 / 消耗品費 5万円 / 印刷製本費 1万円
31,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,研修の家管理費,112万円,112,130万円,130.0,-18.0,-13.846153846153847,教育こども課,01-10-04-02-14,当町の自然に親しみながら、野外における生活体験を通じて青少年の健 全育成を図るため、下諏訪町いずみ湖公園研修の家とキャンプ場を開放 し、安全で利用しやすい施設の管理運営を行う。,研修の家およびキャンプ場の運営,学校運営委員会補助金 100万円
32,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,図書館管理費,859万円,859,839万円,839.0,20.0,2.3837902264600714,教育こども課,01-10-04-04-10,多様化する図書館の利用への地域や住民ニーズに的確に対応した様々 な事業や資料の紹介を行うとともに、本に親しむ機会を提供する場として 施設の管理運営を行う。,図書館の管理運用,光熱水費 456万円 / 清掃委託料 181万円 / 修繕料 52万円
32,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,通園バス管理費,735万円,735,600万円,600.0,135.0,22.5,教育こども課,01-03-02-04-12,さくら保育園、とがわ保育園に通う遠隔地の児童の送迎を行う。,安全かつ確実な送迎体制の構築,こどもの居場所づくり支援事業補助金 500万円
32,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,こどもの居場所づくり支援事業,500万円,500,279万円,279.0,221.0,79.21146953405018,教育こども課,01-03-02-05-26,困難を抱える子どもたちに対し、安全安心で気軽に立ち寄ることができる居場所の設置を推進する。,こどもの居場所づくり支援事業補助金の交付,通園バス運転業務委託料 205万円 / 通園バス購入費 498万円 / 燃料費 25万円
33,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,児童の居場所づくり推進事業,14万円,14,15万円,15.0,-1.0,-6.666666666666667,教育こども課,01-10-04-02-10,町民の参加と協力により、児童の健全育成のため、体験の機会や安全で 安心して集える児童の居場所づくりを進める。,「みんなの遊び場」の企画および運営,児童の居場所づくり推進事業補助金 14万円
33,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,学童クラブ運営事業,"3,741万円",3741,"2,884万円",2884.0,857.0,29.715672676837723,教育こども課,01-10-04-02-12,保護者が就労、疾病その他の理由により昼間家庭にいない児童に適切な 遊びと生活の場を提供し、健全な育成を図る。 長と社会性の育成支援,生活・遊びの場の確保による心身の健やかな成,"会計年度任用職員給 542万円 / 会計年度任用職員報酬等 2,547万円 / 消耗品費 55万円"
33,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,青少年健全育成事業,101万円,101,135万円,135.0,-34.0,-25.185185185185183,教育こども課,01-10-04-02-16,町民すべての参加協力により、青少年の健全育成及び非行防止のため、 育成活動を推進する。 と連携した育成活動の推進 た利用奨励補助金の交付,青少年健全育成協議会を中心とした各種団体 / 指定施設（海の家）を利用する家族を対象とし,青少年健全育成協議会補助金 65万円 / 指定施設利用奨励補助金 13万円 / 県子ども会育成連合会負担金 3万円
34,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,放課後子ども教室推進事業,179万円,179,183万円,183.0,-4.0,-2.185792349726776,教育こども課,01-10-04-02-18,南・北小学校の余裕教室等を活用して、子どもたちの安全・安心な居場所 を確保し、地域住民の参画のもと、様々な学び・遊び・体験の機会を提供 することにより、児童の健全育成を支援する。,放課後子ども教室の運営,事業協力者等謝礼 170万円 / 消耗品費 7万円
34,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,公民館活動事業,507万円,507,416万円,416.0,91.0,21.875,教育こども課,01-10-04-03-10,自発的・自主的・主体的な「学び」の活動による「コミュニティ」づくりを進 めることで、豊かな心を育み、個性の伸長と生きがいを感じて生活を送る ことができる「居場所」につなげる。,学びの機会の創出 / 学習活動への支援 / 公民館の利用の促進,分館活動補助金 278万円 / 講師等謝礼 160万円
34,進んで教養を深め、かおり高い文化を創造するまち,多様な学びの環境整備,生涯学習事業,197万円,197,204万円,204.0,-7.0,-3.431372549019608,教育こども課,01-10-04-01-12,他者の異なる視点を認識する中で、共に学び、共に地域を創り上げていく 「共学共創」のまちづくりを推進する。,学習活動への支援,印刷製本費 131万円 / 記念品代 29万円 / 二十歳を祝う会映像配信委託料 17万円
35,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,一般経費(図書館費),"3,801万円",3801,"3,691万円",3691.0,110.0,2.9802221620157137,教育こども課,01-10-04-04-05,本、雑誌、CD、DVD等の貸し出しを行うほか、いつでも気軽に来館いただ ける親しみやすい図書館として、おすすめ本のコーナーや工作会、お話の 会など多様なイベントを開催し、本に関するレファレンスにも対応する。 存・提供,地域住民のニーズに対応した資料の収集・保 / 年間を通じて様々なイベントの開催,"図書購入費 690万円 / 情報ネットワークシステム機器等借上料 140万円 / 会計年度任用職員報酬等 2,637万円"
35,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,資料収集整理事業,31万円,31,7万円,7.0,24.0,342.85714285714283,産業振興課,01-07-01-06-16,地域に残された貴重な歴史文化に関わる資料を広く収集し、整理保存することで次世代へ引き継いでいくと ともに、調査研究を進め、その成果とともに展示や事業等で活用し史料価値を高める。,地域の歴史文化等に関する資料の収集 / 収蔵品の整理と適切な保存管理,資料くん蒸業務委託料 24万円 / 消耗品費 7万円
35,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,文化財保護事業,877万円,877,874万円,874.0,3.0,0.34324942791762014,産業振興課,01-07-01-07-10,八島ヶ原高層湿原をはじめとした、町内に残る各種文化財を適切に保存 管理し次世代へ継承するとともに、まちづくり等への積極的な活用を図り、 町民が文化財に親しみ理解を深める機会を充実させる。 動の継続 の活用の模索,八島ヶ原高層湿原等の地域の文化財の保護活 / 指定文化財等の保存と未指定文化財の把握 / 文化財保存活用地域計画の策定と地域振興へ,歴史的建築物保存調査業務委託料 49万円 / 八島ヶ原湿原自然保護指導委託料 176万円 / 埋蔵文化財活用事業補助金 615万円
36,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,地域資料保存事業,15万円,15,15万円,15.0,0.0,0.0,教育こども課,01-10-04-04-12,未来の下諏訪町民に町の歴史的資料を残すため、町の過去及び現在の姿がわかる写真や映像をデジタル 化し、文字情報とともに保存する。その保存された情報を、町民がアクセスしやすい形で提供していく。 ジタルアルバム」の普及,郷土資料の収集と保存 / 図書館運営サイト「みんなでつくる 下諏訪町デ,地域資料インターネット公開システム使用料 12万円 / 講師等謝礼 1万円 / 消耗品費 1万円
36,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,博物館管理費,"3,491万円",3491,"1,057万円",1057.0,2434.0,230.2743614001892,産業振興課,01-07-01-06-10,諏訪湖博物館・赤彦記念館を適切に維持管理し計画的な修繕を実施す るとともに、資料展示の充実を図り、町の歴史文化・自然科学等の学びの 拠点として、多くの方に来館していただける環境を整える。 見直し,施設の適切な管理運営 / 施設の計画的な点検、修繕による長寿命化 / 入館者への展示解説および定期的な常設展の,"光熱水費 224万円 / 屋根等防水工事費 2,564万円"
36,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,自主事業,"1,043万円",1043,194万円,194.0,849.0,437.6288659793815,教育こども課,01-10-04-06-12,劇場における舞台芸術に気軽に触れることができる場とすることで、感性 と創造性を育むとともに、誰もが芸術表現の披露と技能向上を図る場とす ることで、生活の中に文化芸術が溶け込むまちを目指す。,質の高い公演等の実施 / 総合文化センターの利用の促進,自主事業委託料 955万円 / 舞台映像使用料 9万円 / 印刷製本費 36万円
37,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,総合文化センター管理費,"5,895万円",5895,"9億3,267万円",93267.0,-87372.0,-93.67943645662453,教育こども課,01-10-04-06-10,文化芸術が有する意義と価値を感受できる施設を目指す。 時代に即した使い勝手の良い環境を追求し続けるとともに、欠かさぬ手入 れにより、災害時にも頼られる文化芸術拠点を目指す。,総合文化センターの整備,"修繕代 70万円 / 光熱水費 1,379万円 / 文化センター業務委託料 2,038万円"
37,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,体験教室等事業,8万円,8,9万円,9.0,-1.0,-11.11111111111111,産業振興課,01-07-01-06-12,博物館に関連した歴史文化・自然科学等の講座・体験教室を企画開催するとともに、例年行事である「今井 邦子文学祭」や「赤彦忌」を実施し、地域の皆さんに郷土への理解を深めてもらう機会とする。 開催,講座、体験教室等の企画開催 / 「今井邦子文学祭」、「赤彦忌」等の例年行事の,事業協力者等謝礼 4万円 / 消耗品費 2万円 / 通信運搬費 2万円
37,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,企画、特別展事業,222万円,222,50万円,50.0,172.0,344.0,産業振興課,01-07-01-06-14,博物館で収蔵する資料の中には、常設展示で紹介できないものも多数あ るため、これらの調査研究の結果と合わせ企画展示とするとともに、周年 企画など折に触れた特別展を開催する。 画、開催,企画展の年次計画に基づく資料収集、調査研究 / 地域住民に興味を持ってもらえる特別展の企,講師・事業協力者等謝礼 21万円 / 印刷製本費 95万円 / 展示パネル製作委託料 31万円
38,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,宿場街道資料館管理費,211万円,211,209万円,209.0,2.0,0.9569377990430622,産業振興課,01-07-01-06-18,明治初頭に建築された歴史的建造物を適切に維持管理するとともに、宿 場や街道の歴史文化を学ぶ施設として、多くの方に利用してもらえる運営 に努める。,施設の適切な維持管理 / 施設の適正な運営、活用の検討,光熱水費 24万円 / 宿場街道資料館管理補助委託料 135万円
38,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,今井邦子文学館管理費,183万円,183,190万円,190.0,-7.0,-3.684210526315789,産業振興課,01-07-01-06-20,江戸時代の面影を残す歴史的建造物を適切に維持管理するとともに、短 歌結社「明日香社」を創始した今井邦子の業績を伝える短歌・文学の学 習施設として、多くの方に利用してもらえる運営に努める。,施設の適切な維持管理 / 施設の適正な運営、活用の検討,光熱水費 11万円 / 今井邦子文学館管理補助委託料 119万円
38,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,伏見屋邸管理費,399万円,399,372万円,372.0,27.0,7.258064516129033,産業振興課,01-07-01-06-22,国登録有形文化財の歴史的建造物を適切に維持管理し、良好な状態で 次世代に継承するとともに、文化財の活用とおもてなしによる交流施設と して、多くの方に親しまれるよう運営する。,施設の適切な維持管理 / 施設の適正な運営、活用の検討,光熱水費 14万円 / 伏見屋邸管理補助委託料 318万円
39,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,七曜星社蔵管理費,2万円,2,2万円,2.0,0.0,0.0,産業振興課,01-07-01-06-24,明治期の製糸業興隆の面影を残す歴史的建造物を維持管理し、良好な 状態で次世代へ継承するとともに、まち歩きの休憩施設等として親しまれ るよう活用を図る。,施設の適切な維持管理 / 施設の適正な運営、活用の検討,光熱水費 1万円 / 火災保険料 1万円
39,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,埋蔵文化財発掘調査事業,1万円,1,1万円,1.0,0.0,0.0,産業振興課,01-07-01-07-12,宅地造成等の工事により失われる可能性のある埋蔵文化財の保全を図るため、届出により開発行為を早期 に把握し、工事の変更等により保存が困難な場合は、発掘調査の実施により記録保存する。 発,埋蔵文化財保護の周知と開発の届出徹底の啓 / 発掘調査等の柔軟で迅速な対応,消耗品費 1万円
39,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,星ヶ塔遺跡管理事業,21万円,21,23万円,23.0,-2.0,-8.695652173913043,産業振興課,01-07-01-07-14,国史跡「星ヶ塔黒曜石原産地遺跡」を適切に保全し、良好な状態で次世 代に継承していくとともに、町観光振興局が企画する観光ツアーの参加者 等が安全に見学できるよう日常的な整備を行う。,遺跡の適正管理と保存 / 保存活用計画の策定,維持管理作業補助委託料 13万円 / 敷地借上料 6万円
40,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,柿蔭山房管理費,68万円,68,52万円,52.0,16.0,30.76923076923077,産業振興課,01-07-01-07-16,町指定文化財である島木赤彦住居（柿䕃山房）を適切に維持管理し、良 好な状態で次世代に継承するとともに、歌人島木赤彦の業績を伝える学 びの施設として公開活用を図る。,施設の適切な維持管理 / 施設の適正な運営、活用の検討,修繕料 25万円 / 柿蔭山房周辺整備補助委託料 11万円 / 茅葺屋根くん蒸業務委託料 7万円
40,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,星ヶ塔ミュージアム指定管理費,354万円,354,353万円,353.0,1.0,0.28328611898017,産業振興課,01-07-01-07-22,国史跡「星ヶ塔黒曜石原産地遺跡」のガイダンス施設として、指定管理者 と連携し適切な維持管理を図り、来館者が埋蔵文化財や黒曜石を通じて 下諏訪の歴史について学ぶことができる施設として運営する。 実施,施設の適切な維持管理 / 入館者への展示解説および定期的な企画展の,光熱水費 160万円 / エレベーター保守委託料 92万円
40,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,姉妹都市交流事業,45万円,45,49万円,49.0,-4.0,-8.16326530612245,総合政策課,01-02-01-06-40,町制施行100周年を機に友好都市交流を開始し、町制施行125周年を機に姉妹 都市提携を締結した愛知県南知多町について、相手方を訪問もしくは相手方を迎 え、姉妹都市交流事業を実施することで、自治体間の親交を深める。,姉妹都市との交流内容の充実,普通旅費 15万円 / 体験等利用料 11万円 / 食糧費 11万円
41,進んで教養を深め、かおり高い文化を創造するまち,広く豊かな感性の育成,国際交流事業,99万円,99,－,,,,教育こども課,01-10-01-02-18,国際交流を通じて相互理解と友好関係を深め、青少年の国際感覚の醸 成を図るとともに、スポーツや文化・芸術・観光・産業分野の連携を促進 し、地域の魅力向上と持続的な地域発展につなげていく。 流事業の実現,イタリア関係団体及び自治体との連携による交 / 国際交流公演会の開催,交流事業支援業務委託料 88万円 / 国際交流協会補助金 4万円
42,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,高齢者の保健・介護一体的実施事業,239万円,239,248万円,248.0,-9.0,-3.6290322580645165,住民環境課,01-04-01-01-14,国の制度改正により、74歳までの国民健康保険と75歳以上の後期高齢者医療制度の保健事業の適切な継 続及び介護予防の取組みを一体的に実施し、健康寿命の延伸と社会保障費の適正化を図る。 個別支援、フレイル予防の健康教育の推進,健康課題の分析、事業の企画調整、重症化予防,保健指導用ソフトウエア使用料 45万円 / 後期高齢者人間ドック等補助金 171万円
42,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,健康づくり推進事業,198万円,198,278万円,278.0,-80.0,-28.776978417266186,保健福祉課,01-04-01-05-10,健康寿命の延伸と健康格差の縮小を目指し、運動習慣の定着や健康知 識の普及に取り組みます。関係機関と連携し、地域一体となった健康づく りを推進する。,健康づくり応援ポイント事業 / 健康づくりに関する団体等の育成支援 / 健康教室の講師派遣委託,特典品代 150万円 / 印刷製本費 25万円 / 消耗品費 16万円
43,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,生涯スポーツ振興事業,209万円,209,330万円,330.0,-121.0,-36.666666666666664,教育こども課,01-10-05-01-10,「生涯一町民一スポーツ」を基本理念に掲げる下諏訪町スポーツ推進計 画に沿い、町民の体力向上を図り、スポーツの実践による生きがいに満ち た豊かな暮らしと、地域に根ざした生涯スポーツ社会の実現を目指す。 の開催,関係団体との連携によるスポーツの普及拡大 / 民間事業者との連携協定によるスポーツ教室等,講師等謝礼 15万円 / スポーツ振興事業開催委託料 185万円
43,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,体育館管理費,964万円,964,"1,167万円",1167.0,-203.0,-17.39502999143102,教育こども課,01-10-05-02-10,「健康スポーツ都市」の趣旨に沿い、町民が体育館を活用して気軽にス ポーツに親しむことができるよう管理する。 な施設の適切な維持管理,利用者が安全かつ快適に施設を利用できるよう,光熱水費 378万円 / 修繕料 59万円 / 清掃委託料 149万円
43,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,スポーツ施設管理費,"1,988万円",1988,"1,819万円",1819.0,169.0,9.290819131390874,教育こども課,01-10-05-03-10,「健康スポーツ都市」の趣旨に沿い、町民がスポーツ施設を活用して気軽 にスポーツに親しむことができるよう管理する。 な施設の適切な維持管理 る新たな拠点整備,利用者が安全かつ快適に施設を利用できるよう / 老朽施設の除却と健康スポーツゾーンを補完す,光熱水費 329万円 / 修繕料 287万円 / 総合運動場等管理補助委託料 466万円
44,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,一般経費(国民スポーツ大会費),534万円,534,－,,,,教育こども課,01-10-05-04-05,第８２回国民スポーツ大会（信州やまなみ国スポ）ローイング競技及びトラ イアスロン競技開催に向けた準備を進め大会を成功させる。 上げ及び開催準備 委員会への参画及び開催準備,ローイング競技開催に向けた実行委員会の立ち / 諏訪湖周で開催されるトライアスロン競技実行,ローイング実行委員会負担金 438万円 / トライアスロン実行委員会負担金 77万円
44,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,高浜健康温泉センター管理費,"3,137万円",3137,"3,150万円",3150.0,-13.0,-0.41269841269841273,教育こども課,01-10-05-05-10,健康温泉センターを温泉で心身を癒す仲間づくりの場、健康づくりの場と して、気軽に立ち寄れる施設として管理する。 理,安全で快適に施設を利用できるための維持管 / 歩行浴プールを活用した健康づくりの推進,"光熱水費 1,122万円 / 修繕料 77万円 / 清掃委託料 560万円"
44,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,健康運動施設管理費,822万円,822,784万円,784.0,38.0,4.846938775510204,教育こども課,01-10-05-05-12,「健康スポーツ都市」の趣旨に沿い、町民が健康運動施設を活用し健康 づくりに取り組めるよう管理する。 の適切な維持管理,利用者が安全かつ快適に利用できるような施設,光熱水費 236万円 / 修繕料 24万円 / 清掃委託料 179万円
45,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,健康運動支援事業,213万円,213,263万円,263.0,-50.0,-19.011406844106464,教育こども課,01-10-05-05-14,町民が運動・スポーツを通じて心身の健康増進を図るため、多様なライフ ステージに合わせた運動講座を開催し、健康寿命の延伸を目指す。,多様な運動講座の開催 / 健康ステーションでの運動支援の推進,講師等謝礼 87万円 / 健康運動教室開催委託料 118万円 / 消耗品費 8万円
45,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,国民健康保険特別会計,"17億6,777万円",176777,"17億6,968万円",176968.0,-191.0,-0.10792911712852041,住民環境課,国民健康保険特別会計,県と共に持続可能な国民保険制度の構築を目指し、保険料水準の統一を見据え、納付金を支払うために適 正な保険税率の設定を行う。また、納付金額が上昇しないよう、医療費適正化を推進し、医療費の抑制を図 る。 収、保健事業,保険資格の得喪、保険給付、保険税の賦課・徴,"保険給付費 13億1,766万円 / 国民健康保険事業費納付金 4億1,151万円 / 特定健康診査等事業費 1,817万円 / 保健衛生普及費 185万円 / 疾病予防費 328万円"
45,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,後期高齢者医療特別会計,"4億8,892万円",48892,"4億5,418万円",45418.0,3474.0,7.648949755603505,住民環境課,後期高齢者医療特別会計,「高齢者の医療の確保に関する法律」により、後期高齢者に対する適切な医療給付等を行うため後期高齢者 医療制度を設け、高齢者の健康、福祉の向上を図る。 齢者医療広域連合への納付,被保険者から徴収した保険料の長野県後期高,"保険料 3億9,674万円 / 保険基盤安定負担金 8,520万円"
46,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,国民健康保険特別会計繰出金,"1億2,874万円",12874,"1億3,606万円",13606.0,-732.0,-5.379979420843745,住民環境課,01-03-01-01-20,国保の低所得者の保険税軽減分や一般会計負担分を国保会計へ繰り出し、国保会計の安定化を図り、国保 被保険者が適切な医療を受けられるようにする。,一般会計から国民健康保険特別会計への繰出,"国民健康保険特別会計繰出金 1億2,874万円"
46,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,後期高齢者医療広域行政事業,"3億5,377万円",35377,"3億5,080万円",35080.0,297.0,0.8466362599771949,住民環境課,01-03-01-03-22,長野県内の全市町村で構成する長野県後期高齢者医療広域連合が保険者として運営し、高齢者が適切な 医療を受けられるようにする。市町村は、保険料の徴収や各種相談及び申請や届出の受付事務を行う。 と事務費負担金の納付,長野県後期高齢者医療広域連合へ療養給付費,"療養給付費負担金 3億4,236万円 / 事務費負担金 1,141万円"
46,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,後期高齢者医療特別会計繰出金,1億50万円,10050,"9,220万円",9220.0,830.0,9.002169197396963,住民環境課,01-03-01-03-24,低所得者の保険料軽減分や一般会計負担分を後期高齢者医療特別会計へ繰り出し、後期高齢者医療特別 会計の安定化を図り、高齢者が適切な医療が受けられるようにする。 出,一般会計から後期高齢者医療特別会計への繰,後期高齢者医療特別会計繰出金 1億50万円
47,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,医療給付事業,"1億5,332万円",15332,"1億5,493万円",15493.0,-161.0,-1.0391789840573162,住民環境課,01-03-03-01-10,医療費の経済的負担軽減を図ることで、安心して子育て・生活ができる環境づくりを目指す。 へ医療費の一部を町が負担,未就学児～高校生、ひとり親家庭、障がい者等,"乳幼児等医療費給付金 5,591万円 / 母子家庭、父子家庭等医療費給付金 899万円 / 障害者医療費給付金 8,841万円"
47,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,医療費資金貸付事業,50万円,50,50万円,50.0,0.0,0.0,住民環境課,01-03-03-01-12,医療費の支払いが困難な者に対して、生活の安定と自立を促すため、医療費の支払いに充てる資金を貸し付 ける。,貸付対象者へ給付対象額に相当する額の貸付,医療費資金貸付金 50万円
47,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,一般経費(保健衛生総務費),776万円,776,510万円,510.0,266.0,52.156862745098046,保健福祉課,01-04-01-01-05,円滑な保健事業の推進と地域医療を守るため、各種協議会への負担金支出や、保健活動を行う団体への補 助を行う。 金の支出,諏訪広域連合病院群輪番制病院運営事業負担 / 歯科休日診療負担金の支出 / 救急告示病院運営事業補助金の交付,会計年度任用職員報酬等 218万円 / 諏訪広域連合輪番制病院運営事業負担金 54万円 / 歯科休日診療負担金 24万円 / 諏訪地域献血推進協議会負担金 2万円 / 救急告示病院運営事業補助金 200万円
48,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,保健センター管理費,957万円,957,576万円,576.0,381.0,66.14583333333334,保健福祉課,01-04-01-01-10,町民の皆様の健康づくりの拠点として、また災害時の福祉避難所として、 いつでも安全・快適に利用できるよう施設の維持管理を行う。 対応,施設の清掃、警備、および光熱水費の支出 / 電気・空調・消防設備等の定期的な保守点検 / 定期点検等の実施により指摘された事項への,光熱水費 183万円 / 清掃委託料 149万円 / 修繕料 446万円
48,心身をきたえ、たくましく明るい健康なまち,健康づくりの推進,在宅当番医制事業,95万円,95,95万円,95.0,0.0,0.0,保健福祉課,01-04-01-01-12,休日の急な病気やケガでも安心して受診できるよう、地域の医療機関と連携して診療体制を確保する。,日曜、休日、祝日における医療体制の確保,在宅当番医制事業委託料 95万円
